#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTG1	ITGB8	9606.ENSP00000458162	9606.ENSP00000222573	0	0	0	0	0	0.070	0.900	0.131	0.912
ACTG1	ITGA2B	9606.ENSP00000458162	9606.ENSP00000262407	0	0	0	0	0.046	0	0.900	0.080	0.904
ACTG1	ITGB7	9606.ENSP00000458162	9606.ENSP00000267082	0	0	0	0	0	0.070	0.900	0.120	0.911
ACTG1	ITGB6	9606.ENSP00000458162	9606.ENSP00000283249	0	0	0	0	0.064	0.070	0.900	0.128	0.914
ACTG1	ITGB5	9606.ENSP00000458162	9606.ENSP00000296181	0	0	0	0	0.044	0.070	0.900	0.147	0.914
ACTG1	TLN1	9606.ENSP00000458162	9606.ENSP00000316029	0	0	0	0	0.056	0.053	0.900	0.767	0.976
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0	0	0.102	0.077	0.900	0.530	0.955
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0	0	0.043	0.070	0.900	0.141	0.913
ACTG1	TLN2	9606.ENSP00000458162	9606.ENSP00000453508	0	0	0	0	0.042	0.053	0.900	0.623	0.961
COMP	ITGA2B	9606.ENSP00000222271	9606.ENSP00000262407	0	0	0	0	0.055	0.054	0.900	0	0.902
COMP	ITGAV	9606.ENSP00000222271	9606.ENSP00000261023	0	0	0	0	0.060	0.054	0.900	0.118	0.911
COMP	ITGA3	9606.ENSP00000222271	9606.ENSP00000315190	0	0	0	0	0.055	0.054	0.900	0.133	0.912
COMP	ITGB1	9606.ENSP00000222271	9606.ENSP00000379350	0	0	0	0	0	0.069	0.900	0.244	0.923
COMP	ITGB3	9606.ENSP00000222271	9606.ENSP00000452786	0	0	0	0	0	0.069	0.900	0.463	0.945
COMP	FN1	9606.ENSP00000222271	9606.ENSP00000346839	0	0	0	0	0.075	0	0	0.957	0.958
DMP1	IBSP	9606.ENSP00000340935	9606.ENSP00000226284	0	0	0	0	0.208	0	0	0.963	0.969
DMP1	ITGAV	9606.ENSP00000340935	9606.ENSP00000261023	0	0	0	0	0	0	0.900	0.157	0.912
DMP1	ITGB3	9606.ENSP00000340935	9606.ENSP00000452786	0	0	0	0	0	0.073	0.900	0.099	0.909
DMP1	SPP1	9606.ENSP00000340935	9606.ENSP00000378517	0	0	0	0	0.067	0	0	0.920	0.922
DMP1	DSPP	9606.ENSP00000340935	9606.ENSP00000498766	0	0.065	0	0	0.184	0.061	0	0.979	0.982
DSPP	IBSP	9606.ENSP00000498766	9606.ENSP00000226284	0	0	0	0	0.042	0.061	0	0.929	0.930
DSPP	ITGAV	9606.ENSP00000498766	9606.ENSP00000261023	0	0	0	0	0	0.045	0.900	0.092	0.905
DSPP	ITGB6	9606.ENSP00000498766	9606.ENSP00000283249	0	0	0	0	0	0.067	0.900	0.475	0.946
DSPP	DMP1	9606.ENSP00000498766	9606.ENSP00000340935	0	0.065	0	0	0.184	0.061	0	0.979	0.982
DSPP	ITGB1	9606.ENSP00000498766	9606.ENSP00000379350	0	0	0	0	0	0.067	0.900	0.239	0.922
FN1	TGFB1	9606.ENSP00000346839	9606.ENSP00000221930	0	0	0	0	0.049	0	0	0.969	0.969
FN1	COMP	9606.ENSP00000346839	9606.ENSP00000222271	0	0	0	0	0.075	0	0	0.957	0.958
FN1	ITGB8	9606.ENSP00000346839	9606.ENSP00000222573	0	0	0	0	0	0	0.900	0.332	0.930
FN1	VTN	9606.ENSP00000346839	9606.ENSP00000226218	0	0	0	0	0.067	0	0	0.999	0.999
FN1	THBS1	9606.ENSP00000346839	9606.ENSP00000260356	0	0	0	0	0.120	0.467	0.720	0.996	0.999
FN1	ITGAV	9606.ENSP00000346839	9606.ENSP00000261023	0	0	0	0	0.126	0.960	0.900	0.997	0.999
FN1	ITGA2B	9606.ENSP00000346839	9606.ENSP00000262407	0	0	0	0	0	0.292	0.900	0.995	0.999
FN1	ITGA9	9606.ENSP00000346839	9606.ENSP00000264741	0	0	0	0	0	0	0.650	0.852	0.945
FN1	ITGB7	9606.ENSP00000346839	9606.ENSP00000267082	0	0	0	0	0.056	0.292	0.900	0.811	0.985
FN1	PXN	9606.ENSP00000346839	9606.ENSP00000267257	0	0	0	0	0	0.201	0	0.978	0.981
FN1	ITGA1	9606.ENSP00000346839	9606.ENSP00000282588	0	0	0	0	0.084	0	0.650	0.853	0.948
FN1	ITGB6	9606.ENSP00000346839	9606.ENSP00000283249	0	0	0	0	0.056	0.292	0.900	0.820	0.986
FN1	ITGA5	9606.ENSP00000346839	9606.ENSP00000293379	0	0	0	0	0.110	0.986	0.900	0.998	0.999
FN1	ITGB5	9606.ENSP00000346839	9606.ENSP00000296181	0	0	0	0	0.129	0.292	0.900	0.934	0.995
FN1	ITGA2	9606.ENSP00000346839	9606.ENSP00000296585	0	0	0	0	0.083	0	0.650	0.962	0.986
FN1	ITGA3	9606.ENSP00000346839	9606.ENSP00000315190	0	0	0	0	0.099	0.292	0.900	0.990	0.999
FN1	TLN1	9606.ENSP00000346839	9606.ENSP00000316029	0	0	0	0	0.042	0.071	0.400	0.988	0.992
FN1	PTK2	9606.ENSP00000346839	9606.ENSP00000341189	0	0	0	0	0.084	0	0.650	0.822	0.937
FN1	ITGA6	9606.ENSP00000346839	9606.ENSP00000386896	0	0	0	0	0.059	0	0.650	0.799	0.928
FN1	SRC	9606.ENSP00000346839	9606.ENSP00000362680	0	0	0	0	0.042	0	0.400	0.912	0.945
FN1	ITGB2	9606.ENSP00000346839	9606.ENSP00000380948	0	0	0	0	0.049	0	0.650	0.934	0.976
FN1	ITGA8	9606.ENSP00000346839	9606.ENSP00000367316	0	0	0	0	0.044	0	0.900	0.776	0.976
FN1	TLN2	9606.ENSP00000346839	9606.ENSP00000453508	0	0	0	0	0.080	0	0	0.984	0.984
FN1	SPP1	9606.ENSP00000346839	9606.ENSP00000378517	0	0	0	0	0.098	0	0	0.996	0.996
FN1	ITGB3	9606.ENSP00000346839	9606.ENSP00000452786	0	0	0	0	0.072	0.977	0.900	0.995	0.999
FN1	ITGB1	9606.ENSP00000346839	9606.ENSP00000379350	0	0	0	0	0.099	0.981	0.900	0.998	0.999
FN1	ITGA4	9606.ENSP00000346839	9606.ENSP00000380227	0	0	0	0	0.047	0.329	0.900	0.995	0.999
IBSP	ITGB5	9606.ENSP00000226284	9606.ENSP00000296181	0	0	0	0	0.042	0.073	0.900	0.096	0.909
IBSP	ITGB3	9606.ENSP00000226284	9606.ENSP00000452786	0	0	0	0	0	0.073	0.900	0.242	0.923
IBSP	DSPP	9606.ENSP00000226284	9606.ENSP00000498766	0	0	0	0	0.042	0.061	0	0.929	0.930
IBSP	DMP1	9606.ENSP00000226284	9606.ENSP00000340935	0	0	0	0	0.208	0	0	0.963	0.969
IBSP	ITGAV	9606.ENSP00000226284	9606.ENSP00000261023	0	0	0	0	0.044	0	0.900	0.837	0.983
IBSP	SPP1	9606.ENSP00000226284	9606.ENSP00000378517	0	0	0	0	0.108	0	0	0.990	0.991
ITGA1	ITGB8	9606.ENSP00000282588	9606.ENSP00000222573	0	0	0	0	0.055	0.114	0.900	0.612	0.963
ITGA1	ITGAV	9606.ENSP00000282588	9606.ENSP00000261023	0	0	0	0.605	0.109	0	0.900	0.349	0.937
